Rk,G,Date,Age,Tm,Column1,Opp,2,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/17/2017,23-152,HOU,@,GSW,W (+1),1,18:10,6,10,.600,0,0,,0,1,.000,1,3,4,0,1,1,2,0,12,8.3,-23
2,2,10/18/2017,23-153,HOU,@,SAC,W (+5),1,28:20,10,12,.833,0,0,,2,2,1.000,5,12,17,1,3,1,2,2,22,26.3,+9
3,3,10/21/2017,23-156,HOU,,DAL,W (+16),1,20:59,5,8,.625,0,0,,3,3,1.000,3,7,10,2,0,0,0,4,13,13.4,+10
4,4,10/23/2017,23-158,HOU,,MEM,L (-8),1,24:44,7,9,.778,0,0,,0,0,,1,5,6,0,1,2,0,5,14,13.1,0
5,5,10/25/2017,23-160,HOU,@,PHI,W (+1),1,31:30,7,9,.778,0,0,,2,2,1.000,6,14,20,2,1,4,2,4,16,22.5,+9
6,6,10/27/2017,23-162,HOU,@,CHO,W (+16),1,16:32,3,3,1.000,0,0,,1,1,1.000,2,4,6,0,0,1,0,5,7,7.4,-6
7,7,10/28/2017,23-163,HOU,@,MEM,L (-14),1,21:38,5,8,.625,0,1,.000,2,2,1.000,3,9,12,1,1,1,2,3,12,12.4,+6
8,8,10/30/2017,23-165,HOU,,PHI,L (-8),1,31:15,4,6,.667,0,0,,4,7,.571,4,11,15,2,1,1,1,0,12,16.4,+6
9,9,11/1/2017,23-167,HOU,@,NYK,W (+22),1,27:46,6,10,.600,0,0,,0,0,,4,9,13,2,1,3,1,0,12,16.4,+16
10,10,11/3/2017,23-169,HOU,@,ATL,W (+15),1,22:28,5,9,.556,0,0,,2,2,1.000,3,3,6,1,0,0,1,0,12,10.4,+4
11,11,11/5/2017,23-171,HOU,,UTA,W (+27),1,22:21,3,5,.600,0,0,,2,3,.667,1,7,8,2,1,4,3,2,8,9.5,+1
12,12,11/9/2017,23-175,HOU,,CLE,W (+4),1,31:20,7,9,.778,0,0,,5,9,.556,6,7,13,1,0,4,5,5,19,16.7,-3
13,13,11/11/2017,23-177,HOU,,MEM,W (+15),1,34:31,3,5,.600,0,0,,1,2,.500,7,7,14,3,2,3,2,3,7,14.3,+10
14,14,11/12/2017,23-178,HOU,@,IND,W (+23),1,31:32,9,12,.750,0,0,,2,3,.667,1,16,17,1,0,1,2,5,20,17.7,+20
15,15,11/14/2017,23-180,HOU,,TOR,L (-16),1,28:50,5,7,.714,0,0,,1,2,.500,5,6,11,1,2,0,0,3,11,14.5,-17
16,16,11/16/2017,23-182,HOU,@,PHO,W (+26),1,21:19,6,11,.545,0,0,,0,3,.000,3,7,10,2,0,2,0,1,12,12.1,+14
17,17,11/18/2017,23-184,HOU,@,MEM,W (+22),1,27:05,7,11,.636,0,0,,3,5,.600,2,11,13,0,0,3,3,4,17,13.5,+10
18,18,11/22/2017,23-188,HOU,,DEN,W (+30),1,16:49,4,7,.571,0,0,,0,2,.000,2,6,8,0,0,0,2,3,8,3.9,+2
19,19,11/25/2017,23-191,HOU,,NYK,W (+15),1,29:31,4,7,.571,0,0,,4,6,.667,4,11,15,3,0,3,2,3,12,15.0,+9
20,20,11/27/2017,23-193,HOU,,BRK,W (+14),1,27:59,8,12,.667,0,0,,4,5,.800,2,4,6,3,0,2,2,4,20,16.9,-2
21,21,11/29/2017,23-195,HOU,,IND,W (+21),1,28:18,10,15,.667,0,0,,2,2,1.000,4,9,13,1,2,0,2,2,22,20.9,+17
22,22,12/3/2017,23-199,HOU,@,LAL,W (+23),1,22:33,3,7,.429,0,0,,2,2,1.000,5,8,13,0,1,3,2,3,8,10.1,-5
23,23,12/7/2017,23-203,HOU,@,UTA,W (+11),1,17:22,3,6,.500,0,0,,1,5,.200,3,5,8,0,1,1,1,5,7,4.7,+9
24,24,12/9/2017,23-205,HOU,@,POR,W (+7),1,21:54,4,5,.800,0,0,,3,6,.500,2,8,10,2,1,0,1,3,11,11.9,-2
25,25,12/11/2017,23-207,HOU,,NOP,W (+7),1,23:55,13,14,.929,0,0,,2,4,.500,1,7,8,0,0,5,1,2,28,27.1,+9
26,26,12/13/2017,23-209,HOU,,CHO,W (+12),1,25:02,4,5,.800,0,0,,1,5,.200,2,9,11,0,1,4,2,1,9,11.0,-9
27,27,12/15/2017,23-211,HOU,,SAS,W (+15),1,25:12,9,11,.818,0,0,,0,0,,3,7,10,1,0,0,2,1,18,16.4,+26
28,,12/16/2017,23-212,HOU,,MIL,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
29,28,12/18/2017,23-214,HOU,,UTA,W (+21),1,34:40,10,12,.833,0,0,,4,5,.800,5,14,19,3,0,2,2,4,24,26.8,+35
30,,12/20/2017,23-216,HOU,,LAL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,,12/22/2017,23-218,HOU,,LAC,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,29,12/25/2017,23-221,HOU,@,OKC,L (-5),1,29:43,9,14,.643,0,0,,1,4,.250,5,5,10,1,2,0,1,4,19,16.7,-3
33,,12/28/2017,23-224,HOU,@,BOS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,12/29/2017,23-225,HOU,@,WAS,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,30,12/31/2017,23-227,HOU,,LAL,W (+6),1,32:02,3,8,.375,0,0,,1,2,.500,5,2,7,2,0,3,2,6,7,5.4,-9
36,31,1/3/2018,23-230,HOU,@,ORL,W (+18),1,23:17,8,12,.667,0,0,,5,6,.833,1,7,8,0,0,2,1,1,21,18.2,+26
37,32,1/4/2018,23-231,HOU,,GSW,L (-10),1,27:30,7,10,.700,0,0,,1,4,.250,1,9,10,0,0,1,2,2,15,10.9,-12
38,33,1/6/2018,23-233,HOU,@,DET,L (-7),1,27:46,7,15,.467,0,0,,0,0,,6,5,11,0,0,2,3,2,14,9.6,-15
39,34,1/8/2018,23-235,HOU,@,CHI,W (+9),1,33:36,5,7,.714,0,0,,5,7,.714,2,14,16,3,0,2,2,5,15,16.4,+9
40,35,1/10/2018,23-237,HOU,,POR,W (+9),1,23:53,5,9,.556,0,0,,3,5,.600,5,4,9,1,0,2,2,5,13,10.7,+8
41,36,1/12/2018,23-239,HOU,@,PHO,W (+17),1,35:36,7,11,.636,0,0,,3,4,.750,5,11,16,3,2,1,4,2,17,18.5,+22
42,37,1/15/2018,23-242,HOU,@,LAC,L (-11),1,28:06,6,10,.600,0,0,,2,3,.667,6,1,7,0,1,2,1,1,14,14.5,-10
43,38,1/18/2018,23-245,HOU,,MIN,W (+18),1,26:02,7,9,.778,0,0,,6,6,1.000,1,4,5,0,1,1,0,3,20,18.9,-3
44,39,1/20/2018,23-247,HOU,,GSW,W (+8),1,30:04,7,12,.583,0,0,,4,8,.500,2,3,5,0,4,1,0,1,18,17.4,0
45,40,1/22/2018,23-249,HOU,,MIA,W (+9),1,26:17,6,10,.600,0,0,,2,5,.400,3,5,8,2,1,0,0,2,14,13.4,+10
46,41,1/24/2018,23-251,HOU,@,DAL,W (+7),1,32:33,7,8,.875,0,0,,2,4,.500,2,11,13,0,2,2,2,2,16,17.7,+24
47,42,1/26/2018,23-253,HOU,@,NOP,L (-2),1,30:05,4,6,.667,0,0,,0,2,.000,2,8,10,0,0,1,4,5,8,3.1,+1
48,43,1/28/2018,23-255,HOU,,PHO,W (+11),1,24:25,3,5,.600,0,0,,4,6,.667,1,10,11,0,1,0,2,4,10,8.0,+16
49,44,1/30/2018,23-257,HOU,,ORL,W (+7),1,30:04,6,14,.429,0,0,,0,0,,5,8,13,2,1,3,1,3,12,12.8,+13
50,45,2/1/2018,23-259,HOU,@,SAS,W (+11),1,35:29,6,10,.600,0,0,,2,2,1.000,2,12,14,2,1,5,1,0,14,19.3,+10
51,46,2/3/2018,23-261,HOU,@,CLE,W (+32),1,25:12,6,10,.600,0,0,,2,2,1.000,0,9,9,0,0,2,0,0,14,13.5,+12
52,47,2/6/2018,23-264,HOU,@,BRK,W (+10),1,31:38,8,12,.667,0,0,,2,4,.500,5,6,11,0,1,4,0,1,18,20.7,-2
53,48,2/7/2018,23-265,HOU,@,MIA,W (+8),1,29:05,6,8,.750,0,0,,1,2,.500,2,6,8,0,0,3,2,3,13,11.5,+4
54,49,2/9/2018,23-267,HOU,,DEN,W (+26),1,28:41,9,15,.600,0,0,,5,11,.455,7,18,25,0,0,2,1,1,23,24.0,+31
55,50,2/11/2018,23-269,HOU,,DAL,W (+7),1,31:16,6,10,.600,0,0,,4,11,.364,2,9,11,0,1,3,0,1,16,15.4,+5
56,51,2/13/2018,23-271,HOU,@,MIN,W (+18),1,25:42,5,7,.714,0,0,,4,6,.667,3,9,12,1,0,1,0,3,14,15.3,-3
57,52,2/14/2018,23-272,HOU,,SAC,W (+9),1,32:39,6,11,.545,0,0,,1,1,1.000,2,9,11,1,1,2,0,2,13,14.1,+14
58,53,2/23/2018,23-281,HOU,,MIN,W (+18),1,31:48,10,11,.909,0,0,,5,6,.833,7,4,11,2,1,1,1,3,25,27.9,+4
59,54,2/25/2018,23-283,HOU,@,DEN,W (+5),1,26:29,3,6,.500,0,0,,0,0,,2,5,7,0,0,2,6,3,6,0.1,-10
60,,2/26/2018,23-284,HOU,@,UTA,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
61,55,2/28/2018,23-286,HOU,@,LAC,W (+13),1,33:14,9,14,.643,0,0,,4,4,1.000,8,6,14,0,2,0,0,2,22,24.4,+14
62,56,3/3/2018,23-289,HOU,,BOS,W (+3),1,33:49,3,6,.500,0,0,,2,2,1.000,3,14,17,0,1,1,1,1,8,11.6,+21
63,57,3/6/2018,23-292,HOU,@,OKC,W (+10),1,27:02,4,6,.667,0,0,,2,4,.500,0,3,3,1,0,2,0,3,10,8.4,-6
64,58,3/7/2018,23-293,HOU,@,MIL,W (+11),1,18:34,4,7,.571,0,0,,2,10,.200,4,4,8,0,0,1,0,2,10,7.4,+3
65,59,3/9/2018,23-295,HOU,@,TOR,L (-3),1,26:01,6,11,.545,0,0,,1,2,.500,6,7,13,1,2,0,3,3,13,12.1,-6
66,60,3/11/2018,23-297,HOU,@,DAL,W (+23),1,23:16,2,3,.667,0,0,,0,2,.000,0,8,8,0,0,2,1,1,4,4.3,+7
67,61,3/12/2018,23-298,HOU,,SAS,W (+16),1,25:52,6,7,.857,0,0,,1,3,.333,1,8,9,0,1,1,3,5,13,9.5,+8
68,62,3/15/2018,23-301,HOU,,LAC,W (+5),1,35:40,9,16,.563,0,0,,1,2,.500,7,5,12,0,1,6,0,2,19,21.8,+1
69,63,3/17/2018,23-303,HOU,@,NOP,W (+6),1,30:06,6,11,.545,0,0,,1,1,1.000,5,6,11,0,0,3,1,1,13,13.7,+18
70,64,3/18/2018,23-304,HOU,@,MIN,W (+9),1,31:22,8,11,.727,0,0,,0,2,.000,4,8,12,2,0,3,0,5,16,17.4,-3
71,65,3/20/2018,23-306,HOU,@,POR,W (+4),1,24:05,2,3,.667,0,0,,1,3,.333,1,5,6,1,0,1,1,4,5,3.9,-4
72,66,3/22/2018,23-308,HOU,,DET,W (+4),1,29:00,5,8,.625,0,0,,0,2,.000,5,9,14,3,0,0,3,2,10,10.1,-11
73,67,3/24/2018,23-310,HOU,,NOP,W (+23),1,28:12,9,12,.750,0,0,,0,2,.000,3,13,16,1,3,6,1,4,18,23.7,+17
74,68,3/25/2018,23-311,HOU,,ATL,W (+19),1,27:42,7,9,.778,0,0,,0,0,,3,5,8,1,2,2,2,1,14,15.8,+3
75,,3/27/2018,23-313,HOU,,CHI,W (+32),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,69,3/30/2018,23-316,HOU,,PHO,W (+1),1,34:07,3,7,.429,0,0,,0,0,,4,4,8,3,1,3,1,2,6,9.7,+6
77,70,4/1/2018,23-318,HOU,@,SAS,L (-17),1,28:29,3,9,.333,0,0,,5,6,.833,3,7,10,0,0,2,0,0,11,11.1,-8
78,71,4/3/2018,23-320,HOU,,WAS,W (+16),1,25:37,9,10,.900,0,0,,3,6,.500,2,8,10,0,1,2,0,0,21,22.6,+9
79,72,4/5/2018,23-322,HOU,,POR,W (+2),1,31:51,4,6,.667,0,0,,3,4,.750,3,7,10,1,2,1,0,2,11,14.8,+12
80,73,4/7/2018,23-324,HOU,,OKC,L (-6),1,26:19,5,6,.833,0,0,,0,2,.000,1,6,7,0,1,2,2,0,10,9.9,-5
81,74,4/10/2018,23-327,HOU,@,LAL,W (+6),1,21:27,5,9,.556,0,0,,0,0,,4,8,12,0,1,0,1,3,10,9.7,+7
82,,4/11/2018,23-328,HOU,@,SAC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
