PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
Ryan Anderson,2017-10-17,29-164,HOU,AWAY,GSW,W (+1),1,33:17,5,12,.417,3,8,.375,0,0,,3,5,8,1,1,1,0,3,13,11.4,+8
Ryan Anderson,2017-10-18,29-165,HOU,AWAY,SAC,W (+5),1,25:41,2,7,.286,2,7,.286,4,4,1.000,1,4,5,0,0,0,0,1,10,7.4,+5
Ryan Anderson,2017-10-21,29-168,HOU,HOME,DAL,W (+16),1,23:04,1,4,.250,1,4,.250,0,0,,1,9,10,1,0,0,0,0,3,4.7,+19
Ryan Anderson,2017-10-23,29-170,HOU,HOME,MEM,L (-8),1,31:10,2,7,.286,1,4,.250,0,0,,3,3,6,2,0,0,0,4,5,3.7,+12
Ryan Anderson,2017-10-25,29-172,HOU,AWAY,PHI,W (+1),1,35:03,5,11,.455,4,9,.444,0,0,,0,1,1,0,1,1,1,0,14,9.3,-1
Ryan Anderson,2017-10-27,29-174,HOU,AWAY,CHO,W (+16),1,34:41,7,16,.438,6,15,.400,1,1,1.000,2,4,6,1,1,1,0,2,21,16.8,+1
Ryan Anderson,2017-10-28,29-175,HOU,AWAY,MEM,L (-14),1,37:16,7,12,.583,7,11,.636,1,2,.500,0,7,7,0,0,2,2,3,22,16.3,-4
Ryan Anderson,2017-10-30,29-177,HOU,HOME,PHI,L (-8),1,34:39,4,11,.364,2,9,.222,1,2,.500,1,2,3,0,0,0,1,2,11,4.0,-14
Ryan Anderson,2017-11-01,29-179,HOU,AWAY,NYK,W (+22),1,30:40,7,13,.538,2,8,.250,5,5,1.000,0,3,3,0,0,0,0,3,21,14.4,+16
Ryan Anderson,2017-11-03,29-181,HOU,AWAY,ATL,W (+15),1,25:25,4,9,.444,3,8,.375,0,0,,0,8,8,0,0,0,0,1,11,8.3,+14
Ryan Anderson,2017-11-05,29-183,HOU,HOME,UTA,W (+27),1,32:03,2,4,.500,2,4,.500,0,0,,0,5,5,1,0,1,0,3,6,5.7,+2
Ryan Anderson,2017-11-09,29-187,HOU,HOME,CLE,W (+4),1,33:54,2,7,.286,1,5,.200,0,0,,3,1,4,3,1,0,2,2,5,3.6,+3
