HOME/AWAY,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,PTS,GAME_SCORE,+/-
0,5,12,0.41700000000000004,3,8,0.375,0,0,0.0,8,1,13,11.4,8
0,2,7,0.28600000000000003,2,7,0.28600000000000003,4,4,1.0,5,0,10,7.4,5
1,1,4,0.25,1,4,0.25,0,0,0.0,10,1,3,4.7,19
1,2,7,0.28600000000000003,1,4,0.25,0,0,0.0,6,2,5,3.7,12
0,5,11,0.455,4,9,0.444,0,0,0.0,1,0,14,9.3,-1
0,7,16,0.43799999999999994,6,15,0.4,1,1,1.0,6,1,21,16.8,1
0,7,12,0.583,7,11,0.636,1,2,0.5,7,0,22,16.3,-4
1,4,11,0.364,2,9,0.222,1,2,0.5,3,0,11,4.0,-14
0,7,13,0.5379999999999999,2,8,0.25,5,5,1.0,3,0,21,14.4,16
0,4,9,0.444,3,8,0.375,0,0,0.0,8,0,11,8.3,14
1,2,4,0.5,2,4,0.5,0,0,0.0,5,1,6,5.7,2
1,2,7,0.28600000000000003,1,5,0.2,0,0,0.0,4,3,5,3.6,3
1,5,9,0.556,2,6,0.33299999999999996,0,0,0.0,6,1,12,9.6,17
0,2,7,0.28600000000000003,1,4,0.25,0,0,0.0,9,0,5,5.2,14
1,3,8,0.375,2,6,0.33299999999999996,1,2,0.5,8,0,9,7.5,-24
0,7,12,0.583,6,10,0.6,4,4,1.0,4,0,24,19.3,22
0,4,7,0.5710000000000001,3,5,0.6,2,2,1.0,4,1,13,7.4,18
1,5,9,0.556,3,7,0.429,0,1,0.0,2,1,13,8.2,8
1,6,11,0.545,5,9,0.556,2,2,1.0,9,2,19,15.2,13
0,1,5,0.2,1,4,0.25,0,0,0.0,1,0,3,-1.2,1
0,9,11,0.818,5,6,0.833,0,0,0.0,6,2,23,21.7,12
0,1,4,0.25,0,2,0.0,0,0,0.0,1,1,2,-2.2,-7
1,2,6,0.33299999999999996,1,4,0.25,0,0,0.0,3,0,5,1.5,-13
1,2,9,0.222,1,5,0.2,0,0,0.0,5,2,5,2.4,-1
1,5,8,0.625,2,3,0.667,0,2,0.0,10,1,12,14.3,14
1,0,4,0.0,0,4,0.0,0,0,0.0,4,1,0,1.1,8
1,0,2,0.0,0,1,0.0,0,0,0.0,2,4,0,1.4,-8
1,1,7,0.14300000000000002,0,3,0.0,0,0,0.0,6,0,2,-0.4,-22
1,3,7,0.429,2,4,0.5,6,6,1.0,10,2,14,14.0,-17
0,3,7,0.429,2,5,0.4,3,3,1.0,5,2,11,7.4,0
0,3,7,0.429,2,6,0.33299999999999996,1,2,0.5,8,1,9,6.5,6
0,3,11,0.273,1,8,0.125,2,2,1.0,12,0,9,7.3,-8
1,2,6,0.33299999999999996,2,6,0.33299999999999996,1,2,0.5,4,0,7,4.0,-18
0,6,12,0.5,1,4,0.25,4,4,1.0,7,0,17,14.5,20
1,2,5,0.4,1,4,0.25,1,2,0.5,6,2,6,6.1,-12
0,2,9,0.222,1,6,0.16699999999999998,0,0,0.0,3,2,5,1.8,-24
0,2,6,0.33299999999999996,1,4,0.25,1,2,0.5,2,1,6,3.9,1
1,3,8,0.375,1,4,0.25,1,2,0.5,7,2,8,7.4,8
0,6,12,0.5,4,7,0.5710000000000001,2,2,1.0,7,1,18,17.6,6
0,4,9,0.444,2,6,0.33299999999999996,2,2,1.0,2,4,12,10.7,-8
1,2,5,0.4,0,3,0.0,2,2,1.0,7,1,6,6.8,20
1,2,3,0.667,0,1,0.0,1,2,0.5,13,1,5,8.3,-2
1,3,7,0.429,3,6,0.5,0,0,0.0,2,2,9,5.1,-1
0,2,6,0.33299999999999996,2,5,0.4,1,2,0.5,5,0,7,4.7,20
0,0,3,0.0,0,2,0.0,0,0,0.0,3,0,0,-2.6,-20
1,3,8,0.375,2,6,0.33299999999999996,5,6,0.833,2,0,13,8.4,-1
