HOME/AWAY,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,PTS,GAME_SCORE,+/-
1,18,33,0.545,3,8,0.375,0,0,0.0,7,6,39,28.6,-17
0,7,14,0.5,0,1,0.0,1,1,1.0,6,4,15,11.6,-24
1,7,18,0.389,1,6,0.16699999999999998,1,3,0.33299999999999996,3,8,16,9.9,-14
1,6,10,0.6,1,3,0.33299999999999996,2,2,1.0,1,1,15,10.0,-2
0,5,13,0.385,0,4,0.0,2,2,1.0,3,0,12,6.2,2
1,0,4,0.0,0,1,0.0,0,0,0.0,2,2,0,-1.6,2
1,1,6,0.16699999999999998,0,4,0.0,0,0,0.0,0,2,2,-0.2,-27
0,2,6,0.33299999999999996,2,6,0.33299999999999996,0,0,0.0,5,3,6,8.8,19
0,1,2,0.5,0,1,0.0,2,2,1.0,3,1,4,4.3,-4
1,3,7,0.429,1,4,0.25,0,0,0.0,2,0,7,5.3,5
0,1,4,0.25,1,4,0.25,0,0,0.0,0,0,3,-0.9,14
1,4,7,0.5710000000000001,3,6,0.5,2,3,0.667,2,4,13,10.9,6
1,5,10,0.5,3,8,0.375,0,0,0.0,6,3,13,12.3,21
1,5,10,0.5,5,8,0.625,0,0,0.0,3,5,15,14.6,14
0,3,5,0.6,3,5,0.6,0,0,0.0,5,1,9,7.8,-18
1,4,17,0.235,2,7,0.28600000000000003,1,3,0.33299999999999996,3,5,11,2.8,-13
0,0,9,0.0,0,7,0.0,2,2,1.0,3,3,2,-3.7,-24
1,10,25,0.4,9,21,0.429,0,0,0.0,10,6,29,22.5,7
1,4,8,0.5,4,7,0.5710000000000001,0,0,0.0,6,3,12,11.9,10
0,3,7,0.429,1,4,0.25,1,1,1.0,3,3,8,7.6,9
1,4,8,0.5,4,8,0.5,0,0,0.0,6,1,12,10.1,17
1,2,7,0.28600000000000003,1,6,0.16699999999999998,0,0,0.0,3,1,5,3.8,6
0,3,8,0.375,1,5,0.2,0,0,0.0,2,1,7,5.5,15
0,4,4,1.0,0,0,0.0,1,2,0.5,3,0,9,4.1,-14
1,4,6,0.667,1,2,0.5,2,2,1.0,11,2,11,8.7,-22
0,3,8,0.375,0,1,0.0,2,8,0.25,18,3,8,8.6,3
1,7,12,0.583,0,0,0.0,2,6,0.33299999999999996,9,7,16,15.7,-2
0,5,9,0.556,0,0,0.0,5,8,0.625,9,6,15,14.6,22
0,5,8,0.625,0,0,0.0,5,7,0.7140000000000001,6,4,15,11.8,-21
1,3,11,0.273,0,0,0.0,5,8,0.625,13,7,11,10.4,10
0,3,7,0.429,1,1,1.0,2,2,1.0,10,8,9,13.5,25
1,6,9,0.667,0,0,0.0,3,5,0.6,12,11,15,18.1,11
1,6,13,0.462,0,0,0.0,0,0,0.0,10,6,12,10.8,7
1,7,9,0.778,0,0,0.0,3,6,0.5,6,12,17,19.5,6
0,4,13,0.308,0,1,0.0,3,4,0.75,4,2,11,2.2,-22
1,2,2,1.0,0,0,0.0,1,2,0.5,6,12,5,8.2,2
1,4,8,0.5,0,1,0.0,2,2,1.0,10,12,10,14.6,10
0,3,9,0.33299999999999996,0,2,0.0,5,7,0.7140000000000001,16,9,11,10.3,0
1,2,5,0.4,0,0,0.0,7,10,0.7,8,8,11,13.3,2
1,7,10,0.7,0,0,0.0,1,3,0.33299999999999996,3,11,15,17.7,7
0,5,7,0.7140000000000001,0,0,0.0,10,12,0.833,9,7,20,24.8,9
1,10,17,0.588,1,1,1.0,8,9,0.889,14,2,29,23.6,-2
0,10,20,0.5,2,4,0.5,5,7,0.7140000000000001,10,2,27,21.7,18
1,7,17,0.41200000000000003,1,6,0.16699999999999998,14,16,0.875,16,4,29,26.3,15
0,7,11,0.636,1,2,0.5,6,8,0.75,9,2,21,20.0,23
1,7,11,0.636,1,2,0.5,4,6,0.667,14,4,19,17.4,19
1,4,10,0.4,0,3,0.0,6,8,0.75,11,4,14,17.0,18
1,11,20,0.55,3,4,0.75,13,13,1.0,8,5,38,34.0,14
0,7,14,0.5,2,2,1.0,4,5,0.8,12,3,20,12.0,-16
0,8,17,0.47100000000000003,1,4,0.25,7,8,0.875,11,1,24,16.6,-27
1,16,23,0.696,0,3,0.0,13,13,1.0,16,4,45,44.6,4
1,3,8,0.375,1,2,0.5,2,4,0.5,5,1,9,3.6,4
1,12,19,0.632,1,5,0.2,17,21,0.81,10,2,42,36.2,15
1,11,15,0.733,2,2,1.0,14,15,0.9329999999999999,11,3,38,32.1,13
0,10,20,0.5,1,2,0.5,12,17,0.706,14,1,33,26.5,13
1,3,13,0.231,0,4,0.0,4,4,1.0,8,0,10,3.2,-7
0,7,14,0.5,2,5,0.4,1,2,0.5,5,2,17,13.9,32
0,5,10,0.5,4,6,0.667,2,2,1.0,9,5,16,16.8,-16
1,11,20,0.55,2,5,0.4,2,2,1.0,11,3,26,23.6,21
0,8,15,0.5329999999999999,3,4,0.75,1,1,1.0,9,3,20,17.6,30
1,9,14,0.643,4,7,0.5710000000000001,2,2,1.0,9,6,24,25.0,20
1,10,16,0.625,2,5,0.4,0,0,0.0,5,2,22,16.7,24
1,8,16,0.5,3,7,0.429,0,2,0.0,7,3,19,11.6,7
0,7,16,0.43799999999999994,1,4,0.25,2,2,1.0,8,4,17,9.2,-19
1,7,13,0.5379999999999999,2,4,0.5,2,2,1.0,4,2,18,14.5,4
0,7,17,0.41200000000000003,0,2,0.0,7,7,1.0,3,2,21,12.4,-1
1,9,17,0.529,1,5,0.2,3,3,1.0,3,5,22,19.7,20
1,10,12,0.833,3,3,1.0,0,0,0.0,8,3,23,21.2,15
0,6,14,0.429,3,5,0.6,2,2,1.0,4,0,17,7.4,13
0,8,13,0.615,1,4,0.25,7,7,1.0,1,7,24,20.3,-14
1,4,8,0.5,1,5,0.2,4,4,1.0,0,4,13,11.2,-1
0,6,8,0.75,3,4,0.75,2,2,1.0,4,3,17,18.1,23
0,2,7,0.28600000000000003,2,5,0.4,2,2,1.0,1,4,8,4.2,-7
1,5,11,0.455,3,6,0.5,4,4,1.0,6,4,17,13.4,1
